brand,card_id,coord_name,part,img_url,color
第1章,P01-01,おとめマーガレット,トップス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/1.png,その他
第1章,P01-01,おとめマーガレット,ボトムス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/2.png,その他
第1章,P01-01,おとめマーガレット,シューズ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/3.png,その他
第1章,P01-01,おとめマーガレット,アクセサリ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/4.png,その他
第1章,P01-02,おとめマーガレットブルー,トップス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/5.png,ブルー
第1章,P01-02,おとめマーガレットブルー,ボトムス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/6.png,ブルー
第1章,P01-02,おとめマーガレットブルー,シューズ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/7.png,ブルー
第1章,P01-02,おとめマーガレットブルー,アクセサリ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/8.png,ブルー
第1章,P01-03,スパークスター,ワンピース,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/9.png,その他
第1章,P01-03,スパークスター,シューズ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/10.png,その他
第1章,P01-03,スパークスター,アクセサリ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/11.png,その他
第1章,P01-04,スパークスターブルー,ワンピース,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/145.png,ブルー
第1章,P01-04,スパークスターブルー,シューズ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/146.png,ブルー
第1章,P01-04,スパークスターブルー,アクセサリ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/147.png,ブルー
第1章,P01-05,ハートバルーン,トップス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/12.png,ピンク
第1章,P01-05,ハートバルーン,ボトムス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/13.png,ピンク
第1章,P01-05,ハートバルーン,シューズ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/14.png,ピンク
第1章,P01-05,ハートバルーン,アクセサリ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/15.png,ピンク
第1章,P01-06,ハートバルーンオレンジ,トップス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/16.png,ピンク
第1章,P01-06,ハートバルーンオレンジ,ボトムス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/17.png,ピンク
第1章,P01-06,ハートバルーンオレンジ,シューズ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/18.png,ピンク
第1章,P01-06,ハートバルーンオレンジ,アクセサリ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/19.png,ピンク
第1章,P01-07,ハロウィンフリル,トップス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/28.png,その他
第1章,P01-07,ハロウィンフリル,ボトムス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/29.png,その他
第1章,P01-07,ハロウィンフリル,シューズ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/30.png,その他
第1章,P01-07,ハロウィンフリル,アクセサリ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/31.png,その他
第1章,P01-08,ハロウィンフリルブルー,トップス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/32.png,ブルー
第1章,P01-08,ハロウィンフリルブルー,ボトムス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/33.png,ブルー
第1章,P01-08,ハロウィンフリルブルー,シューズ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/34.png,ブルー
第1章,P01-08,ハロウィンフリルブルー,アクセサリ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/35.png,ブルー
第1章,P01-09,フルーツパフェ,トップス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/36.png,その他
第1章,P01-09,フルーツパフェ,ボトムス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/37.png,その他
第1章,P01-09,フルーツパフェ,シューズ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/38.png,その他
第1章,P01-09,フルーツパフェ,アクセサリ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/39.png,その他
第1章,P01-10,フルーツパフェピンク,トップス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/40.png,ピンク
第1章,P01-10,フルーツパフェピンク,ボトムス,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/41.png,ピンク
第1章,P01-10,フルーツパフェピンク,シューズ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/42.png,ピンク
第1章,P01-10,フルーツパフェピンク,アクセサリ,https://www.takaratomy-arts.co.jp/specials/primagi/assets/images/item/P01/43.png,ピンク
