brand,card_id,coord_name,part,img_url,color
アイプリ1だん,V1-001,ポッピンハートバズリウム,ワンピース,https://aipri.jp/verse/item/img/1/Item_ID30001.webp,ピンク
アイプリ1だん,V1-002,ポッピンハートバズリウム,シューズ,https://aipri.jp/verse/item/img/1/Item_ID30002.webp,ピンク
アイプリ1だん,V1-003,ポッピンハートバズリウム,アクセサリ,https://aipri.jp/verse/item/img/1/Item_ID30003.webp,ピンク
アイプリ1だん,V1-004,ミラクルムーンバズリウム,ワンピース,https://aipri.jp/verse/item/img/1/Item_ID30004.webp,その他
アイプリ1だん,V1-005,ミラクルムーンバズリウム,シューズ,https://aipri.jp/verse/item/img/1/Item_ID30005.webp,その他
アイプリ1だん,V1-006,ミラクルムーンバズリウム,アクセサリ,https://aipri.jp/verse/item/img/1/Item_ID30006.webp,その他
アイプリ1だん,V1-007,スカーレットバタフライバズリウム,ワンピース,https://aipri.jp/verse/item/img/1/Item_ID30007.webp,その他
アイプリ1だん,V1-008,スカーレットバタフライバズリウム,シューズ,https://aipri.jp/verse/item/img/1/Item_ID30008.webp,その他
アイプリ1だん,V1-009,スカーレットバタフライバズリウム,アクセサリ,https://aipri.jp/verse/item/img/1/Item_ID30009.webp,その他
アイプリ1だん,V1-040,おうしざエメラルド,トップス,https://aipri.jp/verse/item/img/1/Item_ID30141.webp,グリーン
アイプリ1だん,V1-041,おうしざエメラルド,ボトムス,https://aipri.jp/verse/item/img/1/Item_ID30142.webp,グリーン
アイプリ1だん,V1-042,おうしざエメラルド,シューズ,https://aipri.jp/verse/item/img/1/Item_ID30143.webp,グリーン
アイプリ1だん,V1-043,おうしざエメラルド,アクセサリ,https://aipri.jp/verse/item/img/1/Item_ID30144.webp,グリーン
アイプリ1だん,V1-044,おとぎばなしシンデレラ,トップス,https://aipri.jp/verse/item/img/1/Item_ID30019.webp,その他
アイプリ1だん,V1-045,おとぎばなしシンデレラ,ボトムス,https://aipri.jp/verse/item/img/1/Item_ID30157.webp,その他
アイプリ1だん,V1-046,おとぎばなしシンデレラ,シューズ,https://aipri.jp/verse/item/img/1/Item_ID30158.webp,その他
アイプリ1だん,V1-047,おとぎばなしシンデレラ,アクセサリ,https://aipri.jp/verse/item/img/1/Item_ID30159.webp,その他
アイプリ1だん,V1-048,おとぎばなしシンデレライエロー,トップス,https://aipri.jp/verse/item/img/1/Item_ID30160.webp,イエロー
アイプリ1だん,V1-049,おとぎばなしシンデレライエロー,ボトムス,https://aipri.jp/verse/item/img/1/Item_ID30161.webp,イエロー
アイプリ1だん,V1-050,おとぎばなしシンデレライエロー,シューズ,https://aipri.jp/verse/item/img/1/Item_ID30162.webp,イエロー
アイプリ1だん,V1-051,おとぎばなしシンデレライエロー,アクセサリ,https://aipri.jp/verse/item/img/1/Item_ID30164.webp,イエロー
アイプリ1だん,V1-052,キューティーラビット,トップス,https://aipri.jp/verse/item/img/1/Item_ID30010.webp,その他
アイプリ1だん,V1-053,キューティーラビット,ボトムス,https://aipri.jp/verse/item/img/1/Item_ID30011.webp,その他
